[2025-02-14 14:32:52] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 51.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 52.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 53.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 54.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 55.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 56.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 57.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 58.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 59.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 60.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 61.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 62.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 63.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 64.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 65.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 66.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 67.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 68.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 69.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 70.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 71.
[2025-02-14 14:32:53] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 72.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 73.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 74.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 75.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 76.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 77.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 78.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 79.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 80.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 81.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 82.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 83.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 84.
